CodMunicipio;Municipi;Casos PCR+;Incidència acumulada PCR+;Casos PCR+ 14 dies;Incidència acumulada PCR+14;Defuncions;Taxa de defunció
46066;Benirredrà; 102; 6407,04; 1; 62,81; 9; 565,33
46067;Benisanó; 30; 1327,43; 1; 44,25; 0; 0,0
3041;Benissa; 84; 763,29; 6; 54,52; 3; 27,26
46068;Benissoda; 5; 1162,79; 0; 0,0; 0; 0,0
46069;Benisuera; 1; 515,46; 0; 0,0; 0; 0,0
3042;Benitachell/Poble Nou de Benitatxell (el); 22; 514,5; 0; 0,0; 2; 46,77
12029;Benlloch; 21; 2032,91; 0; 0,0; 0; 0,0
12021;Betxí; 75; 1328,61; 11; 194,86; 0; 0,0
3043;Biar; 66; 1797,88; 13; 354,13; 2; 54,48
46071;Bicorp; 10; 1876,17; 2; 375,23; 0; 0,0
3044;Bigastro; 199; 2955,59; 3; 44,56; 3; 44,56
46072;Bocairent; 97; 2312,28; 10; 238,38; 2; 47,68
46073;Bolbaite; 28; 2064,9; 3; 221,24; 1; 73,75
3045;Bolulla; 0; 0,0; 0; 0,0; 0; 0,0
46074;Bonrepòs i Mirambell; 79; 2140,34; 10; 270,93; 1; 27,09
12032;Borriana/Burriana; 678; 1954,85; 65; 187,41; 40; 115,33
12031;Borriol; 122; 2276,12; 6; 111,94; 4; 74,63
46075;Bufali; 1; 621,12; 0; 0,0; 0; 0,0
46076;Bugarra; 31; 4264,1; 0; 0,0; 0; 0,0
46078;Burjassot; 1101; 2895,54; 74; 194,61; 19; 49,97
3046;Busot; 27; 906,65; 0; 0,0; 1; 33,58
46077;Buñol; 196; 2083,33; 3; 31,89; 2; 21,26
46047;Bèlgida; 8; 1188,71; 0; 0,0; 2; 297,18
46070;Bétera; 607; 2500,82; 54; 222,48; 20; 82,4
12033;Cabanes; 19; 642,33; 2; 67,61; 3; 101,42
46079;Calles; 1; 281,69; 1; 281,69; 0; 0,0
3048;Callosa d'En Sarrià; 169; 2292,15; 32; 434,02; 9; 122,07
3049;Callosa de Segura; 759; 3986,76; 55; 288,9; 6; 31,52
3047;Calp; 191; 840,48; 26; 114,41; 6; 26,4
3050;Campello (el); 462; 1629,69; 42; 148,15; 20; 70,55
3051;Campo de Mirra/Camp de Mirra (el); 0; 0,0; 0; 0,0; 0; 0,0
46080;Camporrobles; 39; 3274,56; 8; 671,7; 0; 0,0
46081;Canals; 240; 1766,39; 37; 272,32; 4; 29,44
46082;Canet d'En Berenguer; 76; 1134,84; 11; 164,25; 2; 29,86
12036;Canet lo Roig; 15; 2225,52; 0; 0,0; 0; 0,0
46083;Carcaixent; 334; 1640,63; 29; 142,45; 6; 29,47
46085;Carlet; 723; 4635,21; 67; 429,54; 7; 44,88
46086;Carrícola; 0; 0,0; 0; 0,0; 0; 0,0
46087;Casas Altas; 0; 0,0; 0; 0,0; 0; 0,0
46088;Casas Bajas; 3; 1829,27; 2; 1219,51; 0; 0,0
46089;Casinos; 39; 1404,39; 0; 0,0; 1; 36,01
3053;Castalla; 165; 1629,79; 16; 158,04; 7; 69,14
12037;Castell de Cabres; 0; 0,0; 0; 0,0; 0; 0,0
3054;Castell de Castells; 2; 445,43; 0; 0,0; 1; 222,72
3075;Castell de Guadalest (el); 0; 0,0; 0; 0,0; 0; 0,0
12038;Castellfort; 1; 546,45; 1; 546,45; 0; 0,0
12039;Castellnovo; 5; 545,26; 0; 0,0; 0; 0,0
46091;Castellonet de la Conquesta; 3; 2040,82; 0; 0,0; 0; 0,0
46090;Castelló de Rugat; 25; 1099,38; 7; 307,83; 0; 0,0
12040;Castellón de la Plana/Castelló de la Plana; 3711; 2160,98; 217; 126,36; 82; 47,75
46092;Castielfabib; 0; 0,0; 0; 0,0; 0; 0,0
12041;Castillo de Villamalefa; 5; 4672,9; 0; 0,0; 0; 0,0
46093;Catadau; 39; 1404,39; 0; 0,0; 1; 36,01
46094;Catarroja; 616; 2190,61; 64; 227,6; 22; 78,24
3055;Catral; 152; 1759,46; 21; 243,08; 3; 34,73
12042;Catí; 2; 277,39; 0; 0,0; 1; 138,7
46095;Caudete de las Fuentes; 57; 8142,86; 1; 142,86; 0; 0,0
12043;Caudiel; 4; 602,41; 3; 451,81; 0; 0,0
3052;Cañada; 13; 1065,57; 0; 0,0; 1; 81,97
46096;Cerdà; 3; 906,34; 0; 0,0; 0; 0,0
12044;Cervera del Maestre; 12; 2086,96; 0; 0,0; 0; 0,0
46107;Chella; 58; 2381,93; 15; 616,02; 0; 0,0
46106;Chelva; 23; 1544,66; 5; 335,8; 1; 67,16
46108;Chera; 6; 1265,82; 0; 0,0; 0; 0,0
12052;Chert/Xert; 15; 2139,8; 1; 142,65; 1; 142,65
46109;Cheste; 155; 1824,82; 7; 82,41; 4; 47,09
12053;Chilches/Xilxes; 17; 634,57; 2; 74,65; 0; 0,0
46111;Chiva; 330; 2182,11; 9; 59,51; 12; 79,35
12055;Chodos/Xodos; 0; 0,0; 0; 0,0; 0; 0,0
46112;Chulilla; 6; 902,26; 3; 451,13; 0; 0,0
12056;Chóvar; 2; 694,44; 1; 347,22; 0; 0,0
12045;Cinctorres; 10; 2557,54; 0; 0,0; 1; 255,75
12046;Cirat; 1; 497,51; 0; 0,0; 0; 0,0
3056;Cocentaina; 163; 1416,04; 34; 295,37; 7; 60,81
46097;Cofrentes; 21; 1858,41; 2; 176,99; 1; 88,5
3057;Confrides; 0; 0,0; 0; 0,0; 0; 0,0
46098;Corbera; 64; 2064,52; 13; 419,35; 0; 0,0
12048;Cortes de Arenoso; 2; 628,93; 1; 314,47; 0; 0,0
46099;Cortes de Pallás; 13; 1597,05; 2; 245,7; 0; 0,0
12049;Costur; 6; 1145,04; 0; 0,0; 1; 190,84
46100;Cotes; 8; 2402,4; 1; 300,3; 0; 0,0
12050;Coves de Vinromà (les); 45; 2468,46; 9; 493,69; 0; 0,0
3058;Cox; 165; 2261,2; 15; 205,56; 3; 41,11
3059;Crevillent; 629; 2172,56; 55; 189,97; 10; 34,54
12051;Culla; 5; 1010,1; 4; 808,08; 0; 0,0
46105;Cullera; 255; 1151,5; 17; 76,77; 2; 9,03
12034;Càlig; 19; 974,36; 1; 51,28; 0; 0,0
46084;Càrcer; 77; 4135,34; 7; 375,94; 2; 107,41
46113;Daimús; 78; 2502,41; 7; 224,57; 2; 64,16
3061;Daya Nueva; 39; 2245,25; 3; 172,71; 2; 115,14
3062;Daya Vieja; 7; 1014,49; 0; 0,0; 1; 144,93
3064;Dolores; 266; 3560,91; 33; 441,77; 6; 80,32
46114;Domeño; 4; 564,97; 0; 0,0; 0; 0,0
46115;Dos Aguas; 2; 531,91; 2; 531,91; 0; 0,0
3063;Dénia; 982; 2328,89; 40; 94,86; 13; 30,83
3065;Elche/Elx; 5274; 2268,22; 504; 216,76; 41; 17,63
3066;Elda; 2261; 4297,01; 226; 429,51; 58; 110,23
46116;Eliana (l'); 357; 1957,77; 59; 323,55; 6; 32,9
46117;Emperador; 6; 873,36; 0; 0,0; 0; 0,0
46118;Enguera; 68; 1430,98; 3; 63,13; 2; 42,09
12057;Eslida; 18; 2371,54; 0; 0,0; 0; 0,0
12058;Espadilla; 0; 0,0; 0; 0,0; 0; 0,0
46120;Estivella; 41; 2815,93; 6; 412,09; 0; 0,0
46121;Estubeny; 1; 826,45; 0; 0,0; 0; 0,0
3067;Facheca; 0; 0,0; 0; 0,0; 0; 0,0
3068;Famorca; 0; 0,0; 0; 0,0; 0; 0,0
12059;Fanzara; 2; 749,06; 0; 0,0; 0; 0,0
46122;Faura; 62; 1752,4; 11; 310,91; 2; 56,53
46123;Favara; 43; 1707,7; 1; 39,71; 4; 158,86
12060;Figueroles; 3; 573,61; 0; 0,0; 0; 0,0
3069;Finestrat; 54; 804,17; 4; 59,57; 4; 59,57
46126;Foios; 138; 1873,22; 15; 203,61; 2; 27,15
3077;Fondó de les Neus (el)/Hondón de las Nieves; 28; 1100,63; 0; 0,0; 1; 39,31
46127;Font d'En Carròs (la); 33; 869,79; 5; 131,79; 0; 0,0
46128;Font de la Figuera (la); 25; 1226,69; 0; 0,0; 0; 0,0
46124;Fontanars dels Alforins; 29; 2986,61; 0; 0,0; 0; 0,0
12061;Forcall; 51; 10967,74; 0; 0,0; 1; 215,05
3070;Formentera del Segura; 53; 1264,61; 7; 167,02; 5; 119,3
46125;Fortaleny; 8; 779,73; 0; 0,0; 1; 97,47
12063;Fuente la Reina; 0; 0,0; 0; 0,0; 0; 0,0
46129;Fuenterrobles; 19; 2785,92; 0; 0,0; 1; 146,63
12064;Fuentes de Ayódar; 0; 0,0; 0; 0,0; 0; 0,0
3072;Gaianes; 0; 0,0; 0; 0,0; 0; 0,0
12065;Gaibiel; 1; 531,91; 0; 0,0; 0; 0,0
46131;Gandia; 1640; 2199,51; 286; 383,57; 12; 16,09
3071;Gata de Gorgos; 55; 909,24; 15; 247,97; 0; 0,0
